# oom_id	kind	keytype	key
OOM-0001	segv	func	Python/_warnings.c:do_warn
OOM-0001	segv	func	Python/_warnings.c:setup_context
OOM-0001	segv	func	Python/_warnings.c:warnings_warn_impl
OOM-0001	segv	func	Python/clinic/_warnings.c.h:warnings_warn
OOM-0001	segv	line	Python/_warnings.c:1087
OOM-0001	segv	line	Python/_warnings.c:1139
OOM-0001	segv	line	Python/_warnings.c:1184
OOM-0001	segv	line	Python/clinic/_warnings.c.h:161
OOM-0002	segv	func	Python/context.c:PyContextVar_Set
OOM-0002	segv	line	Python/context.c:367
OOM-0003	abort	func	Objects/codeobject.c:_PyCode_New
OOM-0003	abort	func	Objects/codeobject.c:code_dealloc
OOM-0003	abort	line	Objects/codeobject.c:2440
OOM-0003	abort	line	Objects/codeobject.c:747
OOM-0004	abort	assert	Objects/object.c:freelist->size == 0 || freelist->size == -1
OOM-0004	abort	func	Objects/listobject.c:PyList_New
OOM-0004	abort	func	Objects/listobject.c:free_list_items
OOM-0004	abort	func	Objects/listobject.c:list_dealloc
OOM-0004	abort	func	Objects/object.c:_PyObject_ClearFreeLists
OOM-0004	abort	func	Objects/object.c:clear_freelist
OOM-0004	abort	line	Objects/listobject.c:262
OOM-0004	abort	line	Objects/listobject.c:569
OOM-0004	abort	line	Objects/listobject.c:68
OOM-0004	abort	line	Objects/object.c:909
OOM-0004	abort	line	Objects/object.c:935
OOM-0005	abort	func	Include/internal/pycore_stackref.h:PyStackRef_XCLOSE
OOM-0005	abort	func	Python/ceval.c:clear_thread_frame
OOM-0005	abort	func	Python/frame.c:_PyFrame_ClearExceptCode
OOM-0005	abort	func	Python/frame.c:_PyFrame_ClearLocals
OOM-0005	abort	line	Include/internal/pycore_stackref.h:726
OOM-0005	abort	line	Python/ceval.c:1954
OOM-0005	abort	line	Python/frame.c:101
OOM-0005	abort	line	Python/frame.c:126
OOM-0006	abort	func	Objects/abstract.c:PyObject_GetIter
OOM-0006	abort	func	Objects/dictobject.c:dictiter_dealloc
OOM-0006	abort	func	Objects/dictobject.c:dictiter_new
OOM-0006	abort	line	Objects/abstract.c:2825
OOM-0006	abort	line	Objects/dictobject.c:5516
OOM-0006	abort	line	Objects/dictobject.c:5532
OOM-0007	fatal	func	Objects/cellobject.c:cell_dealloc
OOM-0007	fatal	func	Python/ceval.c:clear_thread_frame
OOM-0007	fatal	func	Python/context.c:context_tp_clear
OOM-0007	fatal	func	Python/context.c:context_tp_dealloc
OOM-0007	fatal	func	Python/frame.c:_PyFrame_ClearLocals
OOM-0007	fatal	line	Objects/cellobject.c:81
OOM-0007	fatal	line	Python/ceval.c:1954
OOM-0007	fatal	line	Python/context.c:518
OOM-0007	fatal	line	Python/context.c:535
OOM-0007	fatal	line	Python/context.c:543
OOM-0007	fatal	line	Python/frame.c:101
OOM-0007	fatal	msg	_Py_Dealloc: Deallocator of type 'Context' cleared the curre
OOM-0008	abort	func	Objects/frameobject.c:PyFrame_GetBack
OOM-0008	abort	func	Objects/frameobject.c:frame_back_get_impl
OOM-0008	abort	func	Objects/object.c:_PyObject_GenericGetAttrWithDict
OOM-0008	abort	func	Objects/object.c:_PyObject_GetAttrStackRef
OOM-0008	abort	func	Objects/typeobject.c:_PyType_LookupStackRefAndVersion
OOM-0008	abort	func	Python/generated_cases.c.h:_PyEval_EvalFrameDefault
OOM-0008	abort	line	Objects/frameobject.c:1118
OOM-0008	abort	line	Objects/frameobject.c:2404
OOM-0008	abort	line	Objects/object.c:1369
OOM-0008	abort	line	Objects/object.c:1919
OOM-0008	abort	line	Objects/typeobject.c:6343
OOM-0008	abort	line	Python/generated_cases.c.h:8786
OOM-0009	abort	assert	Objects/unicodeobject.c:release1 == (buf1 != PyUnicode_DATA(str1))
OOM-0009	abort	func	Objects/clinic/unicodeobject.c.h:unicode_replace
OOM-0009	abort	func	Objects/unicodeobject.c:replace
OOM-0009	abort	func	Objects/unicodeobject.c:unicode_replace_impl
OOM-0009	abort	func	Python/ceval.c:_PyCallMethodDescriptorFastWithKeywords_StackRef
OOM-0009	abort	line	Objects/clinic/unicodeobject.c.h:1002
OOM-0009	abort	line	Objects/unicodeobject.c:10783
OOM-0009	abort	line	Objects/unicodeobject.c:12586
OOM-0009	abort	line	Python/ceval.c:883
OOM-0010	abort	func	Objects/typeobject.c:call_method
OOM-0010	abort	func	Objects/typeobject.c:slot_tp_init
OOM-0010	abort	func	Python/ceval.c:_PyEval_Vector
OOM-0010	abort	func	Python/generated_cases.c.h:_PyEval_EvalFrameDefault
OOM-0010	abort	line	Objects/typeobject.c:11174
OOM-0010	abort	line	Objects/typeobject.c:3100
OOM-0010	abort	line	Python/ceval.c:2141
OOM-0010	abort	line	Python/generated_cases.c.h:13106
OOM-0011	abort	func	Python/generated_cases.c.h:_PyEval_EvalFrameDefault
OOM-0011	abort	func	Python/specialize.c:_Py_Specialize_LoadAttr
OOM-0011	abort	func	Python/specialize.c:specialize
OOM-0011	abort	func	Python/specialize.c:specialize_module_load_attr
OOM-0011	abort	func	Python/specialize.c:specialize_module_load_attr_lock_held
OOM-0011	abort	line	Python/generated_cases.c.h:8761
OOM-0011	abort	line	Python/specialize.c:1010
OOM-0011	abort	line	Python/specialize.c:364
OOM-0011	abort	line	Python/specialize.c:443
OOM-0011	abort	line	Python/specialize.c:460
OOM-0012	abort	assert	Python/instrumentation.c:debug_check_sanity(interp, code)
OOM-0012	abort	assert	Python/instrumentation.c:debug_check_sanity(tstate->interp, code)
OOM-0012	abort	func	Python/ceval.h:do_monitor_exc
OOM-0012	abort	func	Python/instrumentation.c:_Py_call_instrumentation_arg
OOM-0012	abort	func	Python/instrumentation.c:_Py_call_instrumentation_instruction
OOM-0012	abort	func	Python/instrumentation.c:call_instrumentation_vector
OOM-0012	abort	func	Python/instrumentation.c:force_instrument_lock_held
OOM-0012	abort	func	Python/instrumentation.c:get_tools_for_instruction
OOM-0012	abort	func	Python/instrumentation.c:update_instrumentation_data
OOM-0012	abort	line	Python/ceval.h:350
OOM-0012	abort	line	Python/instrumentation.c:1106
OOM-0012	abort	line	Python/instrumentation.c:1119
OOM-0012	abort	line	Python/instrumentation.c:1189
OOM-0012	abort	line	Python/instrumentation.c:1250
OOM-0012	abort	line	Python/instrumentation.c:1440
